"from.gene"	"to.gene"	"im"
"Nupr1.48h"	"Dppa3.48h"	0.0465701054898688
"Mbd3.48h"	"Sap30.48h"	0.0464938281781696
"Tcf3.48h"	"Foxc1.48h"	0.0463383545858085
"Nr5a2.48h"	"Mybl2.48h"	0.0462378546868859
"Zfp57.48h"	"Sub1.48h"	0.0462335531970848
"Mybl2.48h"	"Msc.48h"	0.0462224076121659
"Tgm2.48h"	"Esx1.24.72h.max"	0.0461987995975263
"Mbd3.48h"	"Hoxa2.48h"	0.0459225235874952
"Whsc2.48h"	"Tbx3.48h"	0.0456822315846898
"Dmrt1.48h"	"Ascl1.24.72h.max"	0.0452159107854843
"Sox9.48h"	"Dmrt1.48h"	0.0450201036282785
"Ell2.48h"	"Cdyl2.48h"	0.0446729390612074
"Mycn.48h"	"Suz12.48h"	0.0446678190544301
"Esx1.24.72h.max"	"Tgm2.48h"	0.0445938834197296
"Elf1.48h"	"Nr2f2.48h"	0.044567132573213
"Tbx5.48h"	"T.24.72h.max"	0.0444291482539116
"MyoD1.48h"	"Foxl2.48h"	0.0441145008847689
"Dppa5a.48h"	"Aes.48h"	0.0440535695673124
"Nr0b1.48h"	"Atf3.48h"	0.044013815100181
"Gbx2.48h"	"Tcfap2c.48h"	0.0436328695534646
"Nrip1.48h"	"Tcfcp2l1.48h"	0.0435739385152066
"Nrip1.48h"	"Nr0b1.48h"	0.0435261011239339
"Etv5.48h"	"Sirt3.48h"	0.043363958595003
"Fhl2.48h"	"Dedd2.48h"	0.0430483669873405
"Ascl2.24.72h.max"	"Tcf4.48h"	0.0429743310933098
"Cbx8.48h"	"Pou5f1.24.72h.max"	0.0425851903486415
"Foxc1.48h"	"Foxl2.48h"	0.0424153263815231
"T.24.72h.max"	"Tbx5.48h"	0.0422667106867985
"Pou5f1.24.72h.max"	"Nrip1.48h"	0.0422078257605538
"Hoxa9.48h"	"Dlx3.48h"	0.0421551597633592
"Foxc1.48h"	"Foxa1.48h"	0.0418529352308246
"Ctbp2.48h"	"Rest.48h"	0.0416981421371059
"Id1.48h"	"Tcf4.48h"	0.0413792989190143
"Lass2.48h"	"Dedd2.48h"	0.0413475890704186
"Dppa5a.48h"	"Cbx8.48h"	0.0412032682726216
"Gata3.24.72h.max"	"Lhx2.48h"	0.0410347880689581
"Jun.48h"	"Fosl2.48h"	0.0407808855412986
"Dppa5a.48h"	"Tcea3.48h"	0.04039954291993
"Esx1.24.72h.max"	"Klf4.24.72h.max"	0.0403616519720964
"Hoxa2.48h"	"Pdlim1.48h"	0.0403477373696611
"Etv5.48h"	"Cbx8.48h"	0.04022172765262
"Sub1.48h"	"Fgfbp1.48h"	0.0399906029468833
"Dmrt1.48h"	"Nkx2.5.48h"	0.039983055239556
"Nr2f2.48h"	"Elf1.48h"	0.039644754698601
"Lass2.48h"	"X4932441K18Rik.48h"	0.0395148781625287
"Nr0b1.48h"	"Nrip1.48h"	0.0390266597150989
"Foxp3.48h"	"Esx1.24.72h.max"	0.0388143696032189
"Smad1.48h"	"Dnmt3b.48h"	0.0386184642979567
"Hmga2.48h"	"Tgif1.48h"	0.0384749925533405
"Nrip1.48h"	"Zic1.48h"	0.0384651271625007
"Foxl2.48h"	"MyoD1.48h"	0.038411134943978
"Dedd2.48h"	"Lass2.48h"	0.0384097876721694
"Atf3.48h"	"Nr0b1.48h"	0.0383071415253811
"Tcf3.48h"	"Klf4.24.72h.max"	0.0382059380532524
"Grhl2.48h"	"Eomes.48h"	0.0381737444286143
"Stat3.48h"	"Ctnnb1.48h"	0.038069274945936
"Cdx2.24.72h.max"	"Eomes.48h"	0.0379819535312816
"Atf3.48h"	"Nr5a2.48h"	0.0379715178820008
"Msc.48h"	"Mybl2.48h"	0.0378485549281201
"Tgm2.48h"	"Dedd2.48h"	0.0377846264168779
"Eomes.48h"	"Nkx2.5.48h"	0.0377343049964879
"Tcf3.48h"	"Foxg1.48h"	0.0376987353366331
"Ankrd22.48h"	"Nupr1.48h"	0.0376969379282447
"Jun.48h"	"Klf4.24.72h.max"	0.0376353387389372
"Aes.48h"	"Smad4.48h"	0.0376271736094672
"Dmrt1.48h"	"Cdx2.24.72h.max"	0.0375799956353651
"Hoxa2.48h"	"Mbd3.48h"	0.0373887401480665
"Hmga2.48h"	"Fbxo15.48h"	0.0373461391272327
"Esx1.24.72h.max"	"Nkx2.5.48h"	0.0373232101943966
"Rhox6.48h"	"Tuba1a.48h"	0.0373089151280762
"Sfrs6.48h"	"Id3.48h"	0.0372866598301853
"Dlx3.48h"	"Lhx2.48h"	0.0371658678720411
"Jarid1a.48h"	"Inppl1.48h"	0.0371104763036234
"Smad4.48h"	"Cdx2.24.72h.max"	0.037094160568157
"Ctbp2.48h"	"Id1.48h"	0.0370932641069319
"Etv1.48h"	"Cdyl2.48h"	0.0370588604881054
"Tgif1.48h"	"Hmga2.48h"	0.0370587110075712
"Fgfbp1.48h"	"Sub1.48h"	0.0370468364273085
"Cbx8.48h"	"Dppa5a.48h"	0.0370389332030609
"Lass2.48h"	"Sub1.48h"	0.036622374531782
"Etv5.48h"	"Nr5a2.48h"	0.0366156293127127
"Cdx2.24.72h.max"	"Tuba1a.48h"	0.0365471029037945
"Mycn.48h"	"Tuba1a.48h"	0.0365239957535299
"Msc.48h"	"Nr5a2.48h"	0.0361060732938112
"Hoxa9.48h"	"Rxra.48h"	0.0359661482199614
"Tgif1.48h"	"Hsf2bp.48h"	0.0359661049808456
"Mbd3.48h"	"Meis2.48h"	0.0359318361757873
"Tcf4.48h"	"Ascl1.24.72h.max"	0.0357646086712395
"Foxl2.48h"	"Jun.48h"	0.0357311115947896
"Atxn1.48h"	"Smad6.48h"	0.035610084603439
"Suz12.48h"	"Eed.48h"	0.0355722049858502
"Gata2.48h"	"Nkx2.5.48h"	0.0354901468928412
"Pou5f1.24.72h.max"	"Cbx8.48h"	0.0354494739912842
"Foxj2.48h"	"Whsc2.48h"	0.0353779871777964
"Mettl5.48h"	"Dnmt3b.48h"	0.0353396199804879
"Mbd3.48h"	"Tcfcp2l1.48h"	0.0353202211274095
"Esx1.24.72h.max"	"Foxl2.48h"	0.0352725661220295
"Tuba1a.48h"	"Suz12.48h"	0.0350830751290271
"Pdlim1.48h"	"Cdyl2.48h"	0.0350553199324406
"Id1.48h"	"Tuba1a.48h"	0.0349416854115033
"Dlx3.48h"	"T.24.72h.max"	0.0348601479100614
"Pdlim1.48h"	"Etv1.48h"	0.0348540021150977
"Nkx2.5.48h"	"Tcf3.48h"	0.0348492918410102
"Esx1.24.72h.max"	"Ascl1.24.72h.max"	0.034807669572041
"Jun.48h"	"Nkx2.5.48h"	0.0347684310321304
"Gbx2.48h"	"Foxp3.48h"	0.0347155490474792
"Cdx2.24.72h.max"	"Foxl2.48h"	0.0347118320488244
"Jun.48h"	"Foxl2.48h"	0.0346886300600657
"Gata3.24.72h.max"	"Gbx2.48h"	0.0346748774976568
"Aff1.48h"	"Cdyl2.48h"	0.03465332144292
"T.24.72h.max"	"Cdx2.24.72h.max"	0.034633576020337
"Tcfcp2l1.48h"	"Pdlim1.48h"	0.0344897920957584
"Nrip1.48h"	"Jun.48h"	0.0344368047003031
"Nr2f2.48h"	"Myc.24.72h.max"	0.0343398128705451
"Dnmt3b.48h"	"Ctbp2.48h"	0.0342292318384875
"Sox11.48h"	"Zic1.48h"	0.0342110721444932
"Foxp3.48h"	"Foxg1.48h"	0.0341870480417165
"Tgm2.48h"	"Ostf1.48h"	0.0340666690109893
"Eomes.48h"	"T.24.72h.max"	0.0339855233569337
"Tuba1a.48h"	"Msc.48h"	0.0339739995255066
"Ankrd22.48h"	"Fbxo15.48h"	0.0339027033333534
"Hoxa9.48h"	"Tcfcp2l1.48h"	0.0337480419649359
"Dlx3.48h"	"Gata3.24.72h.max"	0.0337309133418168
"Suz12.48h"	"Gadd45a.48h"	0.033708098853653
"Atf3.48h"	"Fosl2.48h"	0.0336398087411034
"Cdyl.48h"	"Jarid1a.48h"	0.0336326933548882
"Nrip1.48h"	"Sap30.48h"	0.0336276981854907
"Whsc2.48h"	"Nupr1.48h"	0.0336123176158659
"Dppa3.48h"	"Tgif1.48h"	0.0335370965996801
"Nkx2.5.48h"	"Dmrt1.48h"	0.0335002765694521
"Tuba1a.48h"	"Etv5.48h"	0.0334488072196898
"Cdx2.24.72h.max"	"Nkx2.5.48h"	0.0334424680706704
"Ascl1.24.72h.max"	"Tcf4.48h"	0.0334276793630529
"Eed.48h"	"Aes.48h"	0.0333527766518481
"Rest.48h"	"Ctnnb1.48h"	0.0333274088021606
"Esx1.24.72h.max"	"Foxc1.48h"	0.0333241178970258
"Msc.48h"	"Atxn1.48h"	0.0333169660182625
"Arnt2.48h"	"Sirt3.48h"	0.0333099299086056
"Ugp2.48h"	"X4932441K18Rik.48h"	0.0332637087200071
"Lass2.48h"	"Etv3.48h"	0.0330836498823285
"Gata2.48h"	"Inppl1.48h"	0.0329911197197891
"Prickle1.48h"	"Nrip1.48h"	0.0329702340622616
"T.24.72h.max"	"MyoD1.48h"	0.032942681686178
"Hsf2bp.48h"	"Hoxa9.48h"	0.0329366774409747
"Ctnnb1.48h"	"Tbx3.48h"	0.0329078496804284
"Id1.48h"	"Gadd45a.48h"	0.0328298064649215
"Cdx2.24.72h.max"	"Foxc1.48h"	0.0328278315173212
"Nkx2.5.48h"	"Gata2.48h"	0.0328192167734447
"Hoxa9.48h"	"Nanog.48h"	0.0327395310475593
"Nrip1.48h"	"Otx2.48h"	0.0327040114515837
"Tgm2.48h"	"Inppl1.48h"	0.0327002949570845
"Gata3.24.72h.max"	"Klf4.24.72h.max"	0.0326947674655838
"Gata3.24.72h.max"	"Dlx3.48h"	0.0326100400900653
"Fhl2.48h"	"Lass2.48h"	0.0326033342398548
"Lhx2.48h"	"Myc.24.72h.max"	0.0325939220309911
"Sap30.48h"	"Irf2.48h"	0.0325882659020527
"Nkx2.5.48h"	"Etv1.48h"	0.0325112214667906
"Smad1.48h"	"Eed.48h"	0.0324972638625574
"Eed.48h"	"Stat3.48h"	0.0324835333556639
"Tcf3.48h"	"Tgm2.48h"	0.0324614797658146
"Mettl5.48h"	"Ctnnb1.48h"	0.0324471254300888
"Smad4.48h"	"Rhox6.48h"	0.0322538974358734
"Foxp3.48h"	"Rest.48h"	0.0322465239082172
"Nrip1.48h"	"Sox9.48h"	0.032211588688859
"Rest.48h"	"Ctbp2.48h"	0.0321113482776952
"Etv3.48h"	"Whsc2.48h"	0.0321046258683973
"Smad6.48h"	"Arnt2.48h"	0.0320955390969028
"MyoD1.48h"	"Elf1.48h"	0.032025357635007
"Foxg1.48h"	"Nrip1.48h"	0.0320179296643411
"Fhl2.48h"	"Tcfap2c.48h"	0.0320118462832746
"Lhx2.48h"	"Hoxa2.48h"	0.031996772925644
"Sox2.24.72h.max"	"Sox15.48h"	0.0319737274884937
"Pdlim1.48h"	"Foxg1.48h"	0.0319686749689954
"Tcf4.48h"	"Id1.48h"	0.0318810101561961
"Ascl1.24.72h.max"	"Esx1.24.72h.max"	0.0317720438362318
"Dlx3.48h"	"Rxra.48h"	0.0317198703304423
"Hsf2bp.48h"	"Tgif1.48h"	0.0317084279129044
"Stat3.48h"	"Etv3.48h"	0.031694103262308
"Hoxa9.48h"	"Hsf2bp.48h"	0.0316573134030445
"Nr5a2.48h"	"Msc.48h"	0.0316474100723704
"Dlx3.48h"	"Myc.24.72h.max"	0.0315944662662715
"Foxl2.48h"	"Bcl6.48h"	0.0315588992635083
"Stat3.48h"	"Tuba1a.48h"	0.0315496121304001
"Rest.48h"	"Klf9.48h"	0.031416175893073
"Dlx3.48h"	"Eomes.48h"	0.031288679995997
"Gata3.24.72h.max"	"Elf1.48h"	0.0312823403374422
"T.24.72h.max"	"Irf2.48h"	0.0312574619160249
"Sirt3.48h"	"Etv5.48h"	0.0312411523054026
"Foxl2.48h"	"Aff1.48h"	0.0312338967738239
"Stat3.48h"	"Sfpi1.48h"	0.0311737848523492
"Esx1.24.72h.max"	"Dmrt1.48h"	0.031161760136709
"Suz12.48h"	"Tuba1a.48h"	0.031154449997416
"Sub1.48h"	"Lass2.48h"	0.0311042768663888
"Cbx8.48h"	"Etv5.48h"	0.0310843451059882
"Tuba1a.48h"	"Jarid2.48h"	0.0310604345321608
"Smad1.48h"	"Etv5.48h"	0.031056423953002
"Whsc2.48h"	"Stat3.48h"	0.0310498025712404
"Prickle1.48h"	"X4932441K18Rik.48h"	0.030981221509576
"T.24.72h.max"	"Eomes.48h"	0.0309779751412638
"Cdyl2.48h"	"Etv1.48h"	0.0309272000660997
"Whsc2.48h"	"Eed.48h"	0.03091309127044
"Cdyl.48h"	"Inppl1.48h"	0.0308352763926383
"Inppl1.48h"	"Jarid1a.48h"	0.03081383449075
"Inppl1.48h"	"Cdyl.48h"	0.0307996830126382
"Tcfap2c.48h"	"Fhl2.48h"	0.0307385696652241
"Smad4.48h"	"Tuba1a.48h"	0.0307013161454163
"Ascl1.24.72h.max"	"Dmrt1.48h"	0.0306626060642037
"Tcf3.48h"	"Ascl1.24.72h.max"	0.0306612211510435
"Sirt3.48h"	"Stra13.48h"	0.0306328061932903
"Zfp57.48h"	"X4932441K18Rik.48h"	0.0305842851891352
"Gata3.24.72h.max"	"Zscan4c.48h"	0.0305653274676464
"Ascl1.24.72h.max"	"Foxc1.48h"	0.0305623386519506
"Sox7.48h"	"Mef2c.48h"	0.0305515442377576
"Etv5.48h"	"Ctnnb1.48h"	0.0304880330949087
"Stat3.48h"	"Ctbp2.48h"	0.0304760820766644
"Stra13.48h"	"Batf3.48h"	0.0304724792851043
"Nupr1.48h"	"Cdyl.48h"	0.030378143671021
"Foxl2.48h"	"Tcf3.48h"	0.0302723398671872
"Eomes.48h"	"Dlx3.48h"	0.0302424712457097
"Foxp3.48h"	"Tbx5.48h"	0.0301743208087324
